# copy from https://github.com/Leonard-Xu/CWE/tree/master/data
# Word 1	Word 2	Human (mean)
足球	足球	4.98
老虎	老虎	4.8888888889
恒星	恒星	4.7222222222
入场券	门票	4.5962962963
钱	 现金	4.58
银行	钱	4.292
手机	电话	4.2814814815
宝石	珠宝	4.244444444
类型	种类	4.2407407407
新闻	报道	4.103703704
街道	街区	4.0407407407
街道	大街	3.9888888889
书	图书馆	3.968
书	纸	3.9111111111
医生	护士	3.8518518519
老虎	动物	3.8185185185
战争 	部队	3.792
老虎	食肉动物	3.7777777778
男孩	小伙子	3.776
自然	环境	3.768
先例	例子	3.7518518519
法律	律师	3.748
老虎	生物	3.737037037
钱	现金	3.688
教授	博士	3.6444444444
环境	生态	3.64
老虎	猫科动物	3.637037037
行星	星系	3.5925925926
心理学	学科	3.5888888889
峡谷	景观	3.58
液体	水	3.544
计算机	软件	3.533333333
电影	明星	3.532
老虎	美洲虎	3.52962963
英里	公里	3.48
老虎	哺乳动物	3.462962963
海鲜	龙虾	3.436
精神病院	疯人院	3.416
钱	财产	3.4
中风	医院	3.377777778
海鲜	食物	3.355555556
电视	电影	3.352
杯子	餐具	3.3518518519
网球	球拍	3.348
树木	森林	3.2703703704
杯子	物品	3.2692307692
性交	 性	3.26
美元	日元	3.2538461538
哈佛	耶鲁	3.2333333333
老虎	动物群	3.2111111111
海鲜	海洋	3.203703704
货币	市场	3.1962962963
钱	存款	3.1925925926
海岸	岸	3.18
食物	水果	3.166666667
喝	吃	3.16
钱	财富	3.1518518519
计算机	互联网	3.1481481481
男人	女人	3.144
国王	女王	3.1333333333
伏特加酒	白兰地酒	3.1222222222
婴儿	母亲	3.12
音乐会	演奏家	3.12
马拉多纳	足球	3.104
比赛	团队	3.096296296
摇滚乐	爵士乐	3.0777777778
歌剧	表演	3.076
面包	黄油	3.0692307692
国家	公民	3.064
伏特加酒	杜松子酒	3.056
股票	市场	3.024
网络	硬件	3.0037037037
管理者	办公室	3
心理学	认知	3
钱	经营	2.981481481
自然	人	2.98
拳击	回合	2.977777778
心理学	科学	2.9777777778
公告	新闻	2.968
比赛	回合	2.951851852
红利	报酬	2.9481481481
白天	黎明	2.948
物理	质子	2.928
道德	婚姻	2.916
钱	银行	2.9111111111
铝	金属	2.908
投资者	收入	2.892
展览	纪念品	2.8888888889
空间	世界	2.8851851852
夏天	干旱	2.856
钱	美元	2.852
先例	前情	2.8481481481
道德	重要性	2.824
公司	股票	2.82
旅行	活动	2.7814814815
联邦调查局	调查	2.7814814815
奖章	英勇	2.766666667
龙虾	食物	2.728
电话	设备	2.7259259259
阵雨	洪水	2.724
足球	篮球	2.712
杯子	咖啡	2.7111111111
心理学	健康	2.7074074074
列表	类别	2.7074074074
责任	保险	2.7
日本人	美国人	2.672
OPEC	石油	2.6703703704
比赛	胜利	2.666666667
冠军赛	锦标赛	2.662962963
性别	平等	2.66
旅程	航程	2.648
耶路撒冷	 以色列	2.648
旅程	汽车	2.644444444
医院	基础设施	2.64
杯子	手工艺品	2.6333333333
能源	危机	2.616
计算机	 实验室	2.616
世纪	年	2.607407407
设备	制造商	2.6
电视	广播	2.5925925926
酒精	化学	2.584
死亡	囚犯	2.5592592593
战斗	击败	2.555555556
火星	科学家	2.533333333
欧佩克	国家	2.524
爱	性	2.5185185185
杯子	液体	2.516
足球	网球	2.5
观众	连续剧	2.4962962963
学生	教授	2.4962962963
